source_file,source_api,source_loc,sink_file,sink_api,sink_loc,startpoint_type,flow_type
app.js,wx.login,64,app.js,wx.request,67,api.asyn,intra.
app.js,wx.request,67,app.js,wx.showToast,114,api.asyn,inter.sf
app.js,wx.request,130,app.js,wx.showModal,150,api.asyn,intra.
app.js,wx.request,130,app.js,wx.makePhoneCall,168,api.asyn,intra.
pages\account\index.js,wx.request,179,app.js,wx.showToast,114,api.asyn,inter.cf
pages\account\index.js,wx.request,179,pages\account\index.js,wx.showModal,191,api.asyn,inter.sf
pages\account\index.js,wx.request,340,pages\account\index.js,console.log,352,api.asyn,intra.
pages\account\index.js,updateinfo,22,pages\account\index.js,wx.request,30,ui,intra.
pages\accountpoint\index.js,wx.request,36,app.js,wx.showToast,114,api.asyn,inter.cf
pages\answer\index.js,wx.request,222,app.js,wx.showToast,114,api.asyn,inter.cf
pages\answer\index.js,register,215,pages\answer\index.js,wx.request,222,ui,intra.
pages\answer\index.js,formSubmit,63,pages\answer\index.js,wx.request,65,ui,intra.
pages\answer\start.js,wx.request,44,app.js,wx.showToast,114,api.asyn,inter.cf
pages\answer\start.js,register,37,pages\answer\start.js,wx.request,44,ui,intra.
pages\colles\colles.js,wx.request,83,pages\colles\colles.js,wx.makePhoneCall,94,api.asyn,intra.
pages\colles\colles.js,wx.request,83,app.js,wx.showToast,114,api.asyn,inter.cf
pages\colles\colles.js,wx.request,83,pages\colles\colles.js,wx.request,105,api.asyn,inter.sf
pages\colles\colles.js,wx.request,105,pages\colles\colles.js,wx.requestPayment,118,api.asyn,inter.sf
pages\colles\colles.js,wx.request,141,pages\colles\colles.js,wx.showModal,154,api.asyn,inter.sf
pages\deviceadd\index.js,wx.request,51,pages\deviceadd\index.js,wx.showModal,63,api.asyn,intra.
pages\deviceadd\index.js,wx.request,215,pages\deviceadd\index.js,wx.setStorageSync,227,api.asyn,intra.
pages\deviceadd\index.js,wx.getLocation,253,pages\deviceadd\index.js,wx.request,273,api.asyn,inter.sf
pages\deviceadd\index.js,wx.chooseImage,384,pages\deviceadd\index.js,wx.uploadFile,394,api.asyn,intra.
pages\deviceadd\index.js,wx.request,482,pages\deviceadd\index.js,wx.request,322,api.asyn,inter.sf
pages\deviceadd\index.js,wx.request,482,app.js,wx.showToast,114,api.asyn,inter.cf
pages\deviceadd\index.js,wx.request,482,pages\deviceadd\index.js,wx.setStorage,490,api.asyn,inter.sf
pages\deviceadd\index.js,formSubmit,437,pages\deviceadd\index.js,wx.request,482,ui,intra.
pages\deviceadd\index.js,formSubmit,437,pages\deviceadd\index.js,wx.setStorage,490,ui,intra.
pages\deviceadd\index.js,getPhoneNumber,291,pages\deviceadd\index.js,wx.request,295,ui,intra.
pages\deviceaddq\index.js,wx.chooseImage,181,pages\deviceaddq\index.js,console.log,187,api.asyn,intra.
pages\deviceaddq\index.js,wx.request,254,pages\deviceaddq\index.js,wx.setStorage,280,api.asyn,intra.
pages\deviceaddq\index.js,wx.request,254,pages\deviceaddq\index.js,wx.request,317,api.asyn,inter.sf
pages\deviceaddq\index.js,wx.request,254,app.js,wx.showToast,114,api.asyn,inter.cf
pages\deviceaddq\index.js,wx.getLocation,408,pages\deviceaddq\index.js,wx.request,388,api.asyn,inter.sf
pages\deviceaddq\index.js,wx.request,435,pages\deviceaddq\index.js,wx.setStorageSync,445,api.asyn,intra.
pages\deviceaddq\index.js,formSubmit,230,pages\deviceaddq\index.js,wx.request,254,ui,intra.
pages\deviceaddq\index.js,formSubmit,230,pages\deviceaddq\index.js,wx.setStorage,280,ui,intra.
pages\deviceaddq\index.js,getPhoneNumber,331,pages\deviceaddq\index.js,wx.request,335,ui,intra.
pages\deviceedit\index.js,wx.request,38,pages\deviceedit\index.js,wx.request,137,api.asyn,inter.sf
pages\deviceedit\index.js,wx.request,181,pages\deviceedit\index.js,wx.setStorageSync,193,api.asyn,intra.
pages\deviceedit\index.js,wx.request,202,pages\deviceedit\index.js,console.log,212,api.asyn,intra.
pages\deviceedit\index.js,wx.getLocation,218,pages\deviceedit\index.js,wx.request,232,api.asyn,inter.sf
pages\deviceedit\index.js,wx.chooseImage,343,pages\deviceedit\index.js,wx.uploadFile,353,api.asyn,intra.
pages\deviceedit\index.js,wx.request,428,app.js,wx.showToast,114,api.asyn,inter.cf
pages\deviceedit\index.js,formSubmit,385,pages\deviceedit\index.js,wx.request,428,ui,intra.
pages\equipment\equipment.js,wx.request,143,app.js,wx.showToast,114,api.asyn,inter.cf
pages\equipment\equipment.js,wx.request,190,pages\equipment\equipment.js,wx.makePhoneCall,203,api.asyn,intra.
pages\equipment\equipment.js,wx.request,190,pages\equipment\equipment.js,wx.request,216,api.asyn,inter.sf
pages\equipment\equipment.js,wx.request,216,pages\equipment\equipment.js,wx.requestPayment,229,api.asyn,inter.sf
pages\equipment\equipment.js,wx.request,255,pages\equipment\equipment.js,wx.showModal,272,api.asyn,inter.sf
pages\equipment\equipment.js,addreviews,415,pages\equipment\equipment.js,wx.request,423,ui,intra.
pages\equipment\equipment.js,formSubmit,48,pages\equipment\equipment.js,console.log,50,ui,intra.
pages\equipment\equipment.js,formSubmit,48,pages\equipment\equipment.js,wx.request,50,ui,intra.
pages\equipment\equipment.js,getPhoneNumber,368,pages\equipment\equipment.js,wx.request,374,ui,intra.
pages\index\index.js,wx.request,188,app.js,wx.showToast,114,api.asyn,inter.cf
pages\index\index.js,wx.request,262,pages\index\index.js,wx.makePhoneCall,274,api.asyn,inter.sf
pages\index\index.js,wx.request,262,pages\index\index.js,wx.request,285,api.asyn,inter.sf
pages\index\index.js,wx.request,285,pages\index\index.js,wx.requestPayment,298,api.asyn,inter.sf
pages\index\index.js,wx.request,317,pages\index\index.js,wx.showModal,335,api.asyn,inter.sf
pages\index\index.js,wx.getLocation,560,pages\index\index.js,wx.request,563,api.asyn,inter.sf
pages\index\index.js,wx.request,642,pages\index\index.js,wx.setStorageSync,660,api.asyn,intra.
pages\index\index.js,addreviews,183,pages\index\index.js,wx.request,188,ui,intra.
pages\index\index.js,form_id,965,pages\index\index.js,wx.request,966,ui,intra.
pages\integral\integral.js,wx.request,135,pages\integral\integral.js,console.log,146,api.asyn,intra.
pages\integral\integral.js,wx.request,135,app.js,wx.showToast,114,api.asyn,inter.cf
pages\kanjia\kanjia.js,wx.request,59,app.js,wx.showToast,114,api.asyn,inter.cf
pages\kanjia\kanjia.js,wx.request,59,pages\kanjia\kanjia.js,wx.showModal,75,api.asyn,inter.sf
pages\kanjia\kanjia.js,wx.request,59,pages\kanjia\kanjia.js,wx.makePhoneCall,87,api.asyn,inter.sf
pages\login\login.js,wx.request,13,app.js,wx.showToast,114,api.asyn,inter.cf
pages\login\login.js,register,35,pages\login\login.js,wx.request,49,ui,intra.
pages\login\login.js,getPhoneNumber,11,pages\login\login.js,wx.request,13,ui,intra.
pages\myissue\myissue.js,wx.request,166,app.js,wx.showToast,114,api.asyn,inter.cf
pages\phonenumber\phonenumber.js,wx.request,62,app.js,wx.showToast,114,api.asyn,inter.cf
pages\phonenumber\phonenumber.js,formSubmit,91,pages\phonenumber\phonenumber.js,wx.request,101,ui,intra.
pages\phonenumber\phonenumber.js,getPhoneNumber,122,pages\phonenumber\phonenumber.js,wx.request,126,ui,intra.
pages\recharge\recharge.js,wx.request,46,app.js,wx.showToast,114,api.asyn,inter.cf
pages\recharge\recharge.js,wx.request,46,pages\recharge\recharge.js,wx.requestPayment,59,api.asyn,inter.sf
pages\report\report.js,wx.request,23,app.js,wx.showToast,114,api.asyn,inter.cf
pages\report\report.js,bindFormSubmit,21,pages\report\report.js,wx.request,23,ui,intra.
pages\shops\shops.js,formSubmit,29,pages\shops\shops.js,console.log,31,ui,intra.
pages\shops\shops.js,formSubmit,29,pages\shops\shops.js,wx.request,36,ui,intra.
pages\success\success.js,wx.getStorage,20,pages\success\success.js,console.log,23,api.asyn,intra.
pages\success\success.js,wx.request,44,pages\success\success.js,console.log,54,api.asyn,intra.
pages\turntable\turntable.js,wx.request,86,app.js,wx.showToast,114,api.asyn,inter.cf
pages\turntable\turntable.js,getPhoneNumber,84,pages\turntable\turntable.js,wx.request,86,ui,intra.
pages\upgrade\index.js,wx.request,50,app.js,wx.showToast,114,api.asyn,inter.cf
pages\upgrade\index.js,wx.request,50,pages\upgrade\index.js,wx.requestPayment,63,api.asyn,inter.sf
pages\upgrade\index.js,wx.request,50,pages\upgrade\index.js,wx.request,80,api.asyn,inter.sf
pages\userinfo\index.js,wx.request,60,app.js,wx.showToast,114,api.asyn,inter.cf
pages\userinfo\index.js,wx.request,165,pages\userinfo\index.js,wx.makePhoneCall,176,api.asyn,intra.
pages\userinfo\index.js,wx.request,165,pages\userinfo\index.js,wx.request,187,api.asyn,inter.sf
pages\userinfo\index.js,wx.request,187,pages\userinfo\index.js,wx.requestPayment,200,api.asyn,inter.sf
pages\userinfo\index.js,wx.request,220,pages\userinfo\index.js,wx.showModal,236,api.asyn,inter.sf
pages\account\index.js,wx.chooseImage,64,pages\account\index.js,wx.uploadFile,72,api.asyn,intra.
pages\deviceaddq\index.js,wx.chooseImage,344,pages\deviceaddq\index.js,wx.uploadFile,352,api.asyn,intra.
