source_file,source_api,source_loc,sink_file,sink_api,sink_loc,startpoint_type,flow_type
230B6C3484CF379C456D0433B5715043.js,wx.getStorage,28,230B6C3484CF379C456D0433B5715043.js,console.log,31,api.asyn,intra.
230B6C3484CF379C456D0433B5715043.js,wx.login,45,230B6C3484CF379C456D0433B5715043.js,console.log,48,api.asyn,intra.
230B6C3484CF379C456D0433B5715043.js,wx.login,45,230B6C3484CF379C456D0433B5715043.js,wx.request,54,api.asyn,intra.
230B6C3484CF379C456D0433B5715043.js,wx.request,54,230B6C3484CF379C456D0433B5715043.js,console.log,63,api.asyn,intra.
230B6C3484CF379C456D0433B5715043.js,wx.request,54,230B6C3484CF379C456D0433B5715043.js,wx.setStorage,65,api.asyn,intra.
230B6C3484CF379C456D0433B5715043.js,wx.getUserInfo,84,230B6C3484CF379C456D0433B5715043.js,console.log,86,api.asyn,intra.
9A41035384CF379CFC276B5474025043.js,wx.getStorageSync,2&16&21&49&96&112&137&142&177&182&183&184&222&222&242,9A41035384CF379CFC276B5474025043.js,wx.setStorageSync,188,api.sync,inter.sf
9A41035384CF379CFC276B5474025043.js,wx.getStorageSync,2&16&21&49&96&112&137&142&177&182&183&184&222&222&242,9A41035384CF379CFC276B5474025043.js,wx.request,242,api.sync,intra.
app.js,wx.getStorage,28,app.js,console.log,31,api.asyn,intra.
app.js,wx.login,45,app.js,console.log,48,api.asyn,intra.
app.js,wx.login,45,app.js,wx.request,54,api.asyn,intra.
app.js,wx.request,54,app.js,console.log,63,api.asyn,intra.
app.js,wx.request,54,app.js,wx.setStorage,65,api.asyn,intra.
app.js,wx.getUserInfo,84,app.js,console.log,86,api.asyn,intra.
pages\advancePay\advancePay.js,wx.request,77,pages\advancePay\advancePay.js,console.log,93,api.asyn,intra.
pages\advancePay\advancePay.js,radioChange,153,pages\advancePay\advancePay.js,console.log,154,ui,intra.
pages\advancePay\advancePay.js,bindIdExpireDate,159,pages\advancePay\advancePay.js,console.log,160,ui,intra.
pages\advancePayInferiorUpload\advancePayInferiorUpload.js,wx.request,32,pages\advancePayInferiorUpload\advancePayInferiorUpload.js,console.log,45,api.asyn,intra.
pages\advancePayInferiorUpload\advancePayInferiorUpload.js,returnPrev,195,app.js,console.log,175,ui,inter.cf
pages\advancePaySign\advancePaySign.js,wx.chooseImage,104,pages\advancePaySign\advancePaySign.js,console.log,109,api.asyn,intra.
pages\advancePaySign\advancePaySign.js,wx.chooseImage,104,pages\advancePaySign\advancePaySign.js,wx.uploadFile,126,api.asyn,inter.sf
pages\advancePaySign\advancePaySign.js,wx.request,173,pages\advancePaySign\advancePaySign.js,console.log,183,api.asyn,intra.
pages\advancePaySign\advancePaySign.js,checkboxChange,83,pages\advancePaySign\advancePaySign.js,console.log,84,ui,intra.
pages\advancePayUpload\advancePayUpload.js,wx.request,22,pages\advancePayUpload\advancePayUpload.js,console.log,37,api.asyn,intra.
pages\advancePayUploadDetail\advancePayUploadDetail.js,wx.request,39,pages\advancePayUploadDetail\advancePayUploadDetail.js,console.log,55,api.asyn,intra.
pages\anySign\anySign.js,wx.chooseImage,105,pages\anySign\anySign.js,wx.uploadFile,138,api.asyn,intra.
pages\anySign\anySign.js,checkboxChange,84,pages\anySign\anySign.js,console.log,85,ui,intra.
pages\casesState\casesState.js,wx.request,22,pages\casesState\casesState.js,console.log,32,api.asyn,intra.
pages\checkAndCode\checkAndCode.js,wx.request,61,pages\checkAndCode\checkAndCode.js,console.log,70,api.asyn,intra.
pages\checkAndCode\checkAndCode.js,wx.request,97,pages\checkAndCode\checkAndCode.js,wx.showToast,122,api.asyn,intra.
pages\deposit\deposit.js,wx.request,104,pages\deposit\deposit.js,console.log,112,api.asyn,intra.
pages\deposit\deposit.js,wx.scanCode,170,pages\deposit\deposit.js,console.log,172,api.asyn,intra.
pages\deposit\deposit.js,searchHospital,37,pages\deposit\deposit.js,console.log,39,ui,intra.
pages\freeDeposit\freeDeposit.js,wx.chooseImage,102,pages\freeDeposit\freeDeposit.js,console.log,107,api.asyn,intra.
pages\freeDeposit\freeDeposit.js,wx.chooseImage,102,pages\freeDeposit\freeDeposit.js,wx.uploadFile,124,api.asyn,intra.
pages\freeDeposit\freeDeposit.js,wx.request,173,pages\freeDeposit\freeDeposit.js,console.log,182,api.asyn,intra.
pages\freeDeposit\freeDeposit.js,checkboxChange,81,pages\freeDeposit\freeDeposit.js,console.log,82,ui,intra.
pages\index\index.js,wx.request,166,pages\index\index.js,console.log,176,api.asyn,intra.
pages\index\index.js,applyReport,148,pages\index\index.js,console.log,164,ui,intra.
pages\index\index.js,applyReport,148,pages\index\index.js,wx.request,166,ui,intra.
pages\index\index.js,submitReport,335,pages\index\index.js,console.log,337,ui,intra.
pages\index\index.js,searchHospital,305,pages\index\index.js,console.log,307,ui,intra.
pages\indexNew\indexNew.js,wx.request,166,pages\indexNew\indexNew.js,console.log,176,api.asyn,intra.
pages\indexNew\indexNew.js,applyReport,148,pages\indexNew\indexNew.js,console.log,164,ui,intra.
pages\indexNew\indexNew.js,applyReport,148,pages\indexNew\indexNew.js,wx.request,166,ui,intra.
pages\indexNew\indexNew.js,submitReport,331,pages\indexNew\indexNew.js,console.log,333,ui,intra.
pages\indexNew\indexNew.js,searchHospital,301,pages\indexNew\indexNew.js,console.log,303,ui,intra.
pages\login\login.js,getUserInfo,5,pages\login\login.js,console.log,6,ui,intra.
pages\onlineApply\onlineApply.js,wx.request,92,pages\onlineApply\onlineApply.js,console.log,103,api.asyn,inter.cf
pages\onlineApply\onlineApply.js,wx.request,274,pages\onlineApply\onlineApply.js,wx.showToast,288,api.asyn,intra.
pages\onlineApply\onlineApply.js,applyReport,163,pages\onlineApply\onlineApply.js,console.log,175,ui,intra.
pages\onlineApply\onlineApply.js,applyReport,163,pages\onlineApply\onlineApply.js,wx.request,177,ui,intra.
pages\onlineApply\onlineApply.js,CheckIdentifyCode,302,pages\onlineApply\onlineApply.js,console.log,304,ui,intra.
pages\onlineApply\onlineApply.js,CheckIdentifyCode,302,pages\onlineApply\onlineApply.js,wx.request,320,ui,intra.
pages\physicalFiles\physicalFiles.js,wx.request,33,pages\physicalFiles\physicalFiles.js,console.log,43,api.asyn,intra.
pages\process\process.js,wx.request,5,pages\process\process.js,console.log,17,api.asyn,intra.
pages\processDetail\processDetail.js,wx.request,73,pages\processDetail\processDetail.js,console.log,85,api.asyn,intra.
pages\processDetail\processDetail.js,radioChange,213,pages\processDetail\processDetail.js,console.log,214,ui,intra.
pages\processDetail\processDetail.js,policyServiceChange,320,pages\processDetail\processDetail.js,console.log,321,ui,intra.
pages\recordDetail\recordDetail.js,wx.request,25,pages\recordDetail\recordDetail.js,console.log,34,api.asyn,inter.cf
pages\recordDetail\recordDetail.js,wx.getStorage,1458,pages\recordDetail\recordDetail.js,console.log,1461,api.asyn,intra.
pages\recordDetail\recordDetail.js,submitApply,1510,pages\recordDetail\recordDetail.js,console.log,1511,ui,intra.
pages\recordDetail\recordDetail.js,submitApply,1510,pages\recordDetail\recordDetail.js,wx.request,566,ui,intra.
pages\recordDetail\recordDetail.js,sureSelect,1480,pages\recordDetail\recordDetail.js,wx.setStorage,1483,ui,intra.
pages\recordDetail\recordDetail.js,changeBaoXiaoType,995,pages\recordDetail\recordDetail.js,console.log,996,ui,intra.
pages\recordDetail\recordDetail.js,changeAppliRelation,1030,pages\recordDetail\recordDetail.js,console.log,1031,ui,intra.
pages\recordDetail\recordDetail.js,changeAppliBankName,1438,pages\recordDetail\recordDetail.js,console.log,1439,ui,intra.
pages\recordDetail\recordDetail.js,blurOtherRelationDesc,1040,pages\recordDetail\recordDetail.js,console.log,1041,ui,intra.
pages\recordDetail\recordDetail.js,inputOtherRelationDesc,1035,pages\recordDetail\recordDetail.js,console.log,1036,ui,intra.
pages\recordDetail\recordDetail.js,taxReasonListChange,1932,pages\recordDetail\recordDetail.js,console.log,1933,ui,intra.
pages\recordDetail\recordDetail.js,searchAccProf,1129,pages\recordDetail\recordDetail.js,console.log,1130,ui,intra.
pages\recordDetail\recordDetail.js,searchAccProf,1129,pages\recordDetail\recordDetail.js,wx.request,1136,ui,intra.
