source_file,source_api,source_loc,sink_file,sink_api,sink_loc,startpoint_type,flow_type
app.js,wx.login,34,utils\util.js,wx.request,62,api.asyn,inter.cf
app.js,wx.getUserInfo,80,app.js,wx.setStorageSync,83,api.asyn,intra.
app.js,wx.getUserInfo,80,utils\util.js,wx.request,62,api.asyn,inter.cf
utils\util.js,wx.getStorageSync,28&61&96&191&242&265&344&347&555&557&700&711,utils\util.js,wx.request,62,api.sync,inter.sf
utils\util.js,wx.getStorageSync,28&61&96&191&242&265&344&347&555&557&700&711,utils\util.js,wx.setStorageSync,245,api.sync,inter.sf
utils\util.js,wx.downloadFile,154,utils\util.js,wx.saveImageToPhotosAlbum,118,api.asyn,inter.sf
pages\addText\addText.js,wx.getStorageSync,585,pages\addText\addText.js,wx.uploadFile,577,api.sync,intra.
pages\addText\addText.js,wx.chooseImage,271,pages\addText\addText.js,wx.request,222,api.asyn,inter.sf
pages\imageDetail\imageDetail.js,wx.downloadFile,148,utils\util.js,wx.saveImageToPhotosAlbum,118,api.asyn,inter.cf
pages\imageDetail\imageDetail.js,changeImg,164,utils\util.js,wx.request,62,ui,inter.cf
pages\imageDetail\imageDetail.js,fun,118,utils\util.js,wx.request,62,ui,inter.cf
pages\ipEvent\ipEvent.js,formSubmit,51,utils\util.js,wx.request,62,ui,inter.cf
pages\my\my.js,wx.getStorageSync,34&65&79&136,pages\my\my.js,wx.showLoading,32,api.sync,intra.
pages\streamImages\streamImages.js,wx.getStorageSync,70&78&89&123&173&187,utils\util.js,wx.request,62,api.sync,inter.cf
utils\util.js,wx.request,62,app.js,wx.setStorageSync,45,api.asyn,inter.cf
components\article-list\wiki-module\wiki-module.js,wx.getStorage,40,utils\mta_analysis.js,wx.request,181,api.asyn,inter.cf
components\article-list\wiki-module\wiki-module.js,wx.getStorageSync,48,utils\mta_analysis.js,wx.request,181,api.asyn,inter.cf
components\go-wiki-button\go-wiki-button.js,wx.getStorageSync,17&33,utils\mta_analysis.js,wx.request,181,api.asyn,inter.cf
components\relate-recommend\relate-recommend.js,wx.getStorageSync,54,utils\mta_analysis.js,wx.request,181,api.asyn,inter.cf
components\subscribe-button\subscribe-button.js,wx.getStorageSync,13&16&19,utils\mta_analysis.js,wx.request,181,api.asyn,inter.cf
components\tag\tag.js,wx.getStorageSync,25,utils\mta_analysis.js,wx.request,181,api.asyn,inter.cf
pages\dtyz\components\subscribe-core\subscribe-core.js,wx.getStorageSync,9,utils\mta_analysis.js,wx.request,181,api.asyn,inter.cf
pages\imageDetail\imageDetail.js,wx.getStorageSync,67&134,utils\mta_analysis.js,wx.request,181,api.asyn,inter.cf
pages\my\my.js,wx.getStorageSync,65&79&136,utils\mta_analysis.js,wx.request,181,api.asyn,inter.cf
pages\addText\addText.js,wx.chooseImage,271,pages\addText\addText.js,wx.downloadFile,663,api.asyn,inter.sf
utils\mta_analysis.js,wx.getNetworkType,2,utils\mta_analysis.js,wx.setStorageSync,87,api.asyn,inter.sf
