source_file,source_api,source_loc,sink_file,sink_api,sink_loc,startpoint_type,flow_type
app.js,wx.getStorage,56,app.js,console.log,59,api.asyn,intra.
app.js,wx.getStorage,56,app.js,wx.setStorageSync,64,api.asyn,inter.sf
public\getKey.js,wx.login,43,public\getKey.js,wx.request,48,api.asyn,intra.
public\getKey.js,wx.request,48,public\getKey.js,console.log,68,api.asyn,intra.
public\getKey.js,wx.request,48,public\getKey.js,wx.setStorageSync,70,api.asyn,intra.
public\request.js,wx.getStorageSync,42&60&105&112&118&125&131&139&149&157&166&171&186&192&203&212,public\request.js,wx.request,8,api.sync,inter.sf
public\_pay.js,wx.getStorage,4,public\_pay.js,console.log,7,api.asyn,intra.
public\_pay.js,wx.getStorage,4,public\_pay.js,wx.request,7,api.asyn,intra.
public\_pay.js,wx.request,7,public\_pay.js,console.log,19,api.asyn,intra.
public\_pay.js,wx.request,7,public\_pay.js,wx.requestPayment,19,api.asyn,intra.
public\_pay.js,wx.getStorageSync,50,public\_pay.js,wx.request,47,api.sync,intra.
public\_pay.js,wx.request,47,public\_pay.js,wx.request,7,api.asyn,inter.sf
public\_store.js,wx.downloadFile,5,public\_store.js,console.log,9,api.asyn,intra.
public\_store.js,wx.getStorageSync,10,public\_store.js,wx.setStorage,30,api.sync,intra.
pages\academyDetail\academyDetail.js,wx.getStorageSync,14&42&58,public\request.js,wx.request,8,api.sync,inter.cf
pages\academyDetail\academyDetail.js,goForm,32,public\getKey.js,console.log,46,ui,inter.cf
pages\academyDetail\academyDetail.js,goForm,32,public\getKey.js,wx.setStorageSync,74,ui,inter.cf
pages\academyDetail\academyDetail.js,goForm,32,public\getKey.js,wx.request,48,ui,inter.cf
pages\academyForm\academyForm.js,formSubmit,30,pages\academyForm\academyForm.js,console.log,31,ui,intra.
pages\academyForm\academyForm.js,formSubmit,30,public\request.js,wx.request,8,ui,inter.cf
pages\articleDetail\articleDetail.js,wx.getStorageSync,87&145&202&222,pages\articleDetail\articleDetail.js,wx.request,141,api.sync,intra.
pages\ebookDetail\ebookDetail.js,topay,117,public\getKey.js,console.log,46,ui,inter.cf
pages\ebookDetail\ebookDetail.js,topay,117,public\getKey.js,wx.setStorageSync,74,ui,inter.cf
pages\ebookDetail\ebookDetail.js,topay,117,public\getKey.js,wx.request,48,ui,inter.cf
pages\feedback\feedback.js,wx.getStorageSync,30,pages\feedback\feedback.js,wx.request,26,api.sync,intra.
pages\feedback\feedback.js,sure,21,pages\feedback\feedback.js,wx.request,26,ui,intra.
pages\mobile\mobile.js,wx.getStorageSync,18&91&106,pages\mobile\mobile.js,wx.request,84,api.sync,intra.
pages\readrecord\readrecord.js,wx.downloadFile,20,pages\readrecord\readrecord.js,console.log,23,api.asyn,intra.
